,title,location,company,summary,salary,url
0,Store Keeper (Healthcare),Abu Dhabi,Baniyas Medical Center,"Healthcare Experience is a Must!!!We are looking for a Storekeeper for a Medical Center in Abu Dhabi.Up to AED3,000.00 per month.","AED3,000 a month",https://uae.indeed.com/company/Emirates-Clinic/jobs/Store-Keeper-df6df2ecca9ba756?fccid=cd1330ec66d2db11&vjs=3
1,Administration & Finance Officer,Abu Dhabi,Reyada Home Health Care Services,"With at least 2 years of work experience in administration and finance of a healthcare industry.Must be excellent in English, speaking and writing…",,https://uae.indeed.com/rc/clk?jk=965d8fe7d80e3a55&fccid=705c674a5c55570e&vjs=3
2,Healthcare Assistant,Abu Dhabi,Global Human Capital Group (CHCG),"Healthcare Assistant (Abu Dhabi) Functions to perform:To provide a range of healthcare and non-nursing duties, ensuring an efficient and effective service to…",,https://uae.indeed.com/rc/clk?jk=c4b95aff107058ee&fccid=a7b982202b5c1b9f&vjs=3
3,Administrative Officer,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=1a935e74f07ef377&fccid=9628b0bd10bde506&vjs=3
4,Administrative Assistant,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=6395a1ed6e952c27&fccid=9628b0bd10bde506&vjs=3
5,General Manager - Healthcare,Dubai,MBH,The General Manager will be responsible for leading the development and execution of the organization’s long term strategy with a view to creating shareholder…,"AED30,000 a month",https://uae.indeed.com/company/MBH/jobs/General-Manager-93e6d860ad14070f?fccid=525977189810f29f&vjs=3
6,"NOW HIRING !! Staff Nurses - up to AED 8,500 - Abu Dhabi",Abu Dhabi,CIMS Medica,Minimum 2 Years of working experience.Must have HAAD License/Eligibility letter.Must have Bachelor’s Degree in Nursing.,"AED8,500 a month","https://uae.indeed.com/company/Cims-Medica-FZC-LLC,/jobs/Staff-Nurse-130256b951f301f7?fccid=7f51d8667c592f1e&vjs=3"
7,RECEPTIONIST WITH MEDICAL CENTER /CLINIC BACKGROUND,Abu Dhabi,"Primexperts Healthcare, Training And Consultancy",With work experience in Medical Center/ Clinic.Cancelled Visa or Visit Visa.Day off is every Friday.,"AED3,000 - AED3,500 a month","https://uae.indeed.com/company/Primexperts-Healthcare,-Training-And-Consultancy/jobs/Receptionist-Medical-Center-bc01e99c37fe29d1?fccid=460f9c289d11e23d&vjs=3"
8,"Finance Director, Finance Controller ( Healthcare )",Abu Dhabi,ASCO Holdings,"Is responsible for the financial.Assessments, generating reports, establishing company budgets and conduct risk assessments on business initiatives.",,https://uae.indeed.com/company/AbuDhabi-Stem-Cells-Center/jobs/Finance-Director-ed1ff3cb54695300?fccid=99e273d49322bf25&vjs=3
9,Medical Representative,Abu Dhabi,Boehringer Ingelheim,We develop breakthrough therapies and innovative healthcare solutions in areas of unmet medical need for both humans and animals.Fluent in Arabic and English.,,https://uae.indeed.com/rc/clk?jk=1bdd26c98c3e5cea&fccid=6902b1131240791f&vjs=3
10,Executive Assistant,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=c3bfdb456fcab211&fccid=9628b0bd10bde506&vjs=3
11,Call Center Executive,Abu Dhabi,Emirates Hospitals Group,Candidates should have call centre experience in healthcare industry.Emirates Hospitals group is looking for an experienced Call Centre executive to join our…,,https://uae.indeed.com/company/Emirates-Healthcare-Group/jobs/Call-Center-Executive-30384e1fa75012e8?fccid=2d0b037a14d4c604&vjs=3
12,Patient Relations Executive I Healthcare I Dubai - UAE,Dubai,Al-Futtaim,"As a humble family business that started on the banks of the Dubai Creek in the 1930s, Al-Futtaim has expanded to a presence in 31 countries, a portfolio of…",,https://uae.indeed.com/rc/clk?jk=9f4768f2f6f96a40&fccid=b5139e4031867414&vjs=3
13,Admin Sales,Abu Dhabi,Talabat,"As part of the Delivery Hero network, Talabat is the pioneer of the online food ordering industry in the Middle East.Identify and solve internal system issues.",,https://uae.indeed.com/rc/clk?jk=fe75ca211b7755cf&fccid=8948005a95e365ae&vjs=3
14,Healthcare Coach - Patient Coordinator,Dubai,IQVIA,Demonstrates an understanding of the home healthcare industry.Refers specific medical queries or issues to other healthcare professionals in accordance with…,,https://uae.indeed.com/rc/clk?jk=ef1696c0677e2437&fccid=6b7a1dfe07e7f037&vjs=3
15,Health Care Assistant/Medical Assistant,Abu Dhabi,ORTHOPEDIC AND SPINE DAY SURGERY CENTRE L.L.C.,"Healthcare assistant responsible for clinical tasks as well a administrative, such as maintaining patient records, preparing patients and rooms for examination,…","AED3,000 - AED4,000 a month",https://uae.indeed.com/company/TARMEEM-ORTHOPEDIC-AND-SPINE-DAY-SURGERY-CENTRE-L.L.C./jobs/Health-Care-Assistant-Medical-Assistant-5683875cb59da379?fccid=621086c0956055b6&vjs=3
16,Nursing Graduates for Home Care,Abu Dhabi,Dolphin HR Consultancy,Collaborating with doctors and other healthcare professionals to develop improved diets and healthcare plans for patients.,"AED5,000 - AED6,000 a month",https://uae.indeed.com/company/Dolphin-HR-Consultancy/jobs/Nursing-Graduate-Home-Care-e608124e363596fd?fccid=6754097bb557a1d7&vjs=3
17,Senior Administrative Officer,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=e567d29a26034612&fccid=9628b0bd10bde506&vjs=3
18,Tender Coordinator,Abu Dhabi,MPC Healthcare,"Minimum three (3) years experience providing administrative support, preferably in Healthcare / Pharmaceutical industries.",,https://uae.indeed.com/company/MPC-Healthcare/jobs/Tender-Coordinator-c6dcf6e09d148d2f?fccid=0a5a1088568eadf6&vjs=3
19,University Council Secretary,Abu Dhabi,Zayed University,"The University’s benefits package is highly attractive, with competitive salaries free of tax in the U.A.E., Cash housing, a furniture allowance, annual…",,https://uae.indeed.com/rc/clk?jk=24641f3f62c2782d&fccid=9628b0bd10bde506&vjs=3
20,Health Care Assistant,Abu Dhabi,Natural Health Medical Center,Experience in Dermatology Clinic (Laser and Slimming Section) is preferred.Environment with at least 1 year experience in the UAE.,"AED3,500 - AED4,000 a month",https://uae.indeed.com/company/Global-Home-Healthcare/jobs/Health-Care-Assistant-8ed47d82ff284445?fccid=7272944667a37772&vjs=3
21,Call Center Representative,Dubai,SouKare Pharmacy LLC,"SouKare.com is a Dubai-based online healthcare start-up, aiming to re-define healthcare convenience in the region. We provide a 90-minute delivery service in…","AED4,000 a month",https://uae.indeed.com/company/SouKare-Pharmacy-LLC/jobs/Call-Center-Representative-ca1b3b037930417e?fccid=a48b4c0024962ebb&vjs=3
